brand,market,category,line,line_code,item,sku,composition,angle,alpha,score,dropbox_path
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","n/a","n/a","y","5.5","Renders/Ai Resources/1G AIO Distillate Dispo Flavor Badges/Flavor_09_COLOR.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","multi-pack","multiple","y","4.0","Renders/Master Case Group Shots/MasterLayout_Disposables_Distillate_2G_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Grey Device/Disposables_Distillate_StrawberryRuntz_45_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_All in One_Sept2024/oldVersion/CA_Dispo_Distillate_StrawberryRuntz_Front_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/NM/Gen2 Device Renders/NM_1G_Dispos Gen2/NM_1G_Dispos_StrawberryRuntz_Front.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_TechDesign_June2025/CA_1G_Distillate_Disposables_45_StrawberryRuntz.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","packaging-only","front","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_TechDesign_June2025/CA_1G_Distillate_Disposables_Front_Solo_StrawberryRuntz.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","lineup","multiple","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_TechDesign_June2025/Group Shot/00_CA_1G_Distillate_Disposables_GroupShot.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","device-with-packaging","three-quarter","y","3.0","Renders/CA catalog resized/1G Distillate Dispo/CA_Dispo_Distillate_StrawberryRuntz_Front_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Color Device/Disposables_Distillate_StrawberryRuntz_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Black and Gold Device/CA_Disposables_Distillate_StrawberryRuntz_Front_V2.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Black and Gold Device/CA_Disposables_Distillate_StrawberryRuntz_45_V2.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_TechDesign_June2025/CA_1G_Distillate_Disposables_Front_StrawberryRuntz.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/NM/Gen2 Device Renders/NM_1G_Dispos Gen2/NM_1G_Dispos_StrawberryRuntz_ThreeQuarters.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_All in One_Sept2024/CA_Dispo_Distillate_StrawberryRuntz_45_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","packaging-only","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_TechDesign_June2025/CA_1G_Distillate_Disposables_45_Solo_StrawberryRuntz.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Color Device/Disposables_Distillate_StrawberryRuntz_45_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Grey Device/Disposables_Distillate_StrawberryRuntz_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_All in One_Sept2024/oldVersion/CA_Dispo_Distillate_StrawberryRuntz_45_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Strawberry Runtz","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_All in One_Sept2024/CA_Dispo_Distillate_StrawberryRuntz_Front_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","n/a","n/a","y","4.0","Renders/Ai Resources/1G AIO Distillate Dispo Flavor Badges/Flavor_08_COLOR.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","n/a","multiple","y","3.5","Renders/Accessories/Sticker Card/StickerCard_GroupShot_02.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","in-scene","three-quarter","y","3.5","Renders/Accessories/Product Displays/AllInOne_Single_Distillate_Front.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","multi-pack","three-quarter","y","3.5","Renders/Accessories/Product Displays/Disposable Product Display with Cards.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","multi-pack","three-quarter","y","3.5","Renders/Accessories/Product Displays/AllInOne_Single_Distillate_45.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","multi-pack","three-quarter","y","3.5","Renders/Accessories/Product Displays/Disposable Product Display with Cards_Front.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","packaging-only","three-quarter","y","3.5","Renders/Moods/Moods_Watermelon_Box_45_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","multi-pack","three-quarter","y","3.5","Renders/Moods/MasterCase/Moods_Mastercase_Open_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","multi-pack","multiple","y","3.5","Renders/Master Case Group Shots/MasterLayout_Disposables_Distillate_2G_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","device-only","three-quarter","y","3.5","Renders/Moods/Moods_Watermelon_Device_Back_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","packaging-only","front","y","3.5","Renders/Moods/Moods_Watermelon_Box_Front_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","multi-pack","three-quarter","y","3.5","Renders/Master Case Group Shots/MasterLayout_Disposables_LiveResin_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Grey Device/Disposables_Distillate_WatermelonOG_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/NM/Gen2 Device Renders/NM_1G_Dispos Gen2/NM_1G_Dispos_WatermelonOG_ThreeQuarters.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Black and Gold Device/CA_Disposables_Distillate_WatermelonOG_45_V2.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Color Device/Disposables_Distillate_WatermelonOG_45_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Black and Gold Device/CA_Disposables_Distillate_WatermelonOG_Front_V2.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Color Device/Disposables_Distillate_WatermelonOG_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/NM/Gen2 Device Renders/NM_1G_Dispos Gen2/NM_1G_Dispos_WatermelonOG_Front.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Watermelon OG","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Grey Device/Disposables_Distillate_WatermelonOG_45_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Cherry Grapefruit","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Black and Gold Device/CA_Disposables_Distillate_CherryGrapefruit_Front_V2.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Cherry Grapefruit","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Color Device/Disposables_Distillate_CherryGrapefruit_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Cherry Grapefruit","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Color Device/Disposables_Distillate_CherryGrapefruit_45_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Cherry Grapefruit","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/NM/Gen2 Device Renders/NM_1G_Dispos Gen2/NM_1G_Dispos_CherryGrapefruit_Front.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Cherry Grapefruit","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/NM/Gen2 Device Renders/NM_1G_Dispos Gen2/NM_1G_Dispos_CherryGrapefruit_ThreeQuarters.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Cherry Grapefruit","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Grey Device/Disposables_Distillate_CherryGrapefruit_V1.png"
"Muha Meds","AZ","disposables","Distallite 1 Grams Dispo","AZ001","Cherry Grapefruit","","device-with-packaging","three-quarter","y","3.0","Renders/Disposables/CA/CA_Distillate/CA_1G_Distillate_Feb2024/Grey Device/Disposables_Distillate_CherryGrapefruit_45_V1.png"
